Time(ms),Device Name,Device Id,Position X(m),Position Y(m),Position Z(m),
0.000000,MOBILE_STATION_6,6,49.444830,97.993311,0.000000,
0.000000,MOBILE_STATION_7,7,49.444830,247.157191,0.000000,
0.000000,MOBILE_STATION_8,8,99.410132,299.331104,0.000000,
0.000000,MOBILE_STATION_9,9,149.375434,300.668896,0.000000,
0.000000,MOBILE_STATION_10,10,201.075642,149.498328,0.000000,
0.000000,MOBILE_STATION_11,11,150.069396,198.996656,0.000000,
0.000000,MOBILE_STATION_12,12,198.993754,401.003344,0.000000,
0.000000,MOBILE_STATION_13,13,300.659264,352.842809,0.000000,
0.000000,MOBILE_STATION_14,14,348.889660,249.832776,0.000000,
0.000000,MOBILE_STATION_15,15,299.271339,147.491639,0.000000,
0.000000,MOBILE_STATION_16,16,349.236641,96.655518,0.000000,
0.000000,MOBILE_STATION_17,17,400.589868,249.163880,0.000000,
0.000000,MOBILE_STATION_18,18,450.208189,348.160535,0.000000,
0.000000,MOBILE_STATION_19,19,449.861207,200.334448,0.000000,
0.000000,MOBILE_STATION_20,20,248.612075,451.839465,0.000000,
0.000000,MOBILE_STATION_21,21,149.722415,96.655518,0.000000,
1000.000000,MOBILE_STATION_6,6,47.000000,88.000000,0.000000,
1000.000000,MOBILE_STATION_7,7,36.000000,240.000000,0.000000,
1000.000000,MOBILE_STATION_8,8,92.000000,285.000000,0.000000,
1000.000000,MOBILE_STATION_9,9,142.000000,305.000000,0.000000,
1000.000000,MOBILE_STATION_10,10,185.000000,134.000000,0.000000,
1000.000000,MOBILE_STATION_11,11,127.000000,205.000000,0.000000,
1000.000000,MOBILE_STATION_12,12,184.000000,388.000000,0.000000,
1000.000000,MOBILE_STATION_13,13,304.000000,337.000000,0.000000,
1000.000000,MOBILE_STATION_14,14,359.000000,222.000000,0.000000,
1000.000000,MOBILE_STATION_15,15,301.000000,157.000000,0.000000,
1000.000000,MOBILE_STATION_16,16,338.000000,82.000000,0.000000,
1000.000000,MOBILE_STATION_17,17,388.000000,255.000000,0.000000,
1000.000000,MOBILE_STATION_18,18,442.000000,302.000000,0.000000,
1000.000000,MOBILE_STATION_19,19,458.000000,196.000000,0.000000,
1000.000000,MOBILE_STATION_20,20,254.000000,432.000000,0.000000,
1000.000000,MOBILE_STATION_21,21,150.000000,99.000000,0.000000,
2000.000000,MOBILE_STATION_6,6,13.000000,86.000000,0.000000,
2000.000000,MOBILE_STATION_7,7,33.000000,252.000000,0.000000,
2000.000000,MOBILE_STATION_8,8,89.000000,289.000000,0.000000,
2000.000000,MOBILE_STATION_9,9,142.000000,300.000000,0.000000,
2000.000000,MOBILE_STATION_10,10,190.000000,135.000000,0.000000,
2000.000000,MOBILE_STATION_11,11,140.000000,195.000000,0.000000,
2000.000000,MOBILE_STATION_12,12,198.000000,398.000000,0.000000,
2000.000000,MOBILE_STATION_13,13,307.000000,333.000000,0.000000,
2000.000000,MOBILE_STATION_14,14,327.000000,253.000000,0.000000,
2000.000000,MOBILE_STATION_15,15,311.000000,129.000000,0.000000,
2000.000000,MOBILE_STATION_16,16,342.000000,99.000000,0.000000,
2000.000000,MOBILE_STATION_17,17,381.000000,253.000000,0.000000,
2000.000000,MOBILE_STATION_18,18,428.000000,347.000000,0.000000,
2000.000000,MOBILE_STATION_19,19,409.000000,198.000000,0.000000,
2000.000000,MOBILE_STATION_20,20,249.000000,434.000000,0.000000,
2000.000000,MOBILE_STATION_21,21,95.000000,101.000000,0.000000,
3000.000000,MOBILE_STATION_6,6,46.000000,78.000000,0.000000,
3000.000000,MOBILE_STATION_7,7,21.000000,208.000000,0.000000,
3000.000000,MOBILE_STATION_8,8,62.000000,266.000000,0.000000,
3000.000000,MOBILE_STATION_9,9,134.000000,295.000000,0.000000,
3000.000000,MOBILE_STATION_10,10,189.000000,147.000000,0.000000,
3000.000000,MOBILE_STATION_11,11,111.000000,190.000000,0.000000,
3000.000000,MOBILE_STATION_12,12,187.000000,367.000000,0.000000,
3000.000000,MOBILE_STATION_13,13,309.000000,355.000000,0.000000,
3000.000000,MOBILE_STATION_14,14,364.000000,239.000000,0.000000,
3000.000000,MOBILE_STATION_15,15,294.000000,149.000000,0.000000,
3000.000000,MOBILE_STATION_16,16,344.000000,65.000000,0.000000,
3000.000000,MOBILE_STATION_17,17,388.000000,247.000000,0.000000,
3000.000000,MOBILE_STATION_18,18,453.000000,300.000000,0.000000,
3000.000000,MOBILE_STATION_19,19,472.000000,202.000000,0.000000,
3000.000000,MOBILE_STATION_20,20,237.000000,428.000000,0.000000,
3000.000000,MOBILE_STATION_21,21,144.000000,79.000000,0.000000,
4000.000000,MOBILE_STATION_6,6,21.000000,80.000000,0.000000,
4000.000000,MOBILE_STATION_7,7,30.000000,258.000000,0.000000,
4000.000000,MOBILE_STATION_8,8,80.000000,299.000000,0.000000,
4000.000000,MOBILE_STATION_9,9,128.000000,307.000000,0.000000,
4000.000000,MOBILE_STATION_10,10,183.000000,116.000000,0.000000,
4000.000000,MOBILE_STATION_11,11,125.000000,182.000000,0.000000,
4000.000000,MOBILE_STATION_12,12,177.000000,393.000000,0.000000,
4000.000000,MOBILE_STATION_13,13,276.000000,312.000000,0.000000,
4000.000000,MOBILE_STATION_14,14,310.000000,256.000000,0.000000,
4000.000000,MOBILE_STATION_15,15,278.000000,111.000000,0.000000,
4000.000000,MOBILE_STATION_16,16,356.000000,102.000000,0.000000,
4000.000000,MOBILE_STATION_17,17,351.000000,266.000000,0.000000,
4000.000000,MOBILE_STATION_18,18,413.000000,358.000000,0.000000,
4000.000000,MOBILE_STATION_19,19,396.000000,173.000000,0.000000,
4000.000000,MOBILE_STATION_20,20,221.000000,438.000000,0.000000,
4000.000000,MOBILE_STATION_21,21,85.000000,73.000000,0.000000,
5000.000000,MOBILE_STATION_6,6,44.000000,47.000000,0.000000,
5000.000000,MOBILE_STATION_7,7,36.000000,208.000000,0.000000,
5000.000000,MOBILE_STATION_8,8,50.000000,269.000000,0.000000,
5000.000000,MOBILE_STATION_9,9,123.000000,269.000000,0.000000,
5000.000000,MOBILE_STATION_10,10,192.000000,149.000000,0.000000,
5000.000000,MOBILE_STATION_11,11,108.000000,205.000000,0.000000,
5000.000000,MOBILE_STATION_12,12,176.000000,381.000000,0.000000,
5000.000000,MOBILE_STATION_13,13,297.000000,331.000000,0.000000,
5000.000000,MOBILE_STATION_14,14,377.000000,242.000000,0.000000,
5000.000000,MOBILE_STATION_15,15,288.000000,138.000000,0.000000,
5000.000000,MOBILE_STATION_16,16,351.000000,50.000000,0.000000,
5000.000000,MOBILE_STATION_17,17,381.000000,230.000000,0.000000,
5000.000000,MOBILE_STATION_18,18,458.000000,290.000000,0.000000,
5000.000000,MOBILE_STATION_19,19,460.000000,216.000000,0.000000,
5000.000000,MOBILE_STATION_20,20,220.000000,414.000000,0.000000,
5000.000000,MOBILE_STATION_21,21,149.000000,70.000000,0.000000,
6000.000000,MOBILE_STATION_6,6,37.000000,95.000000,0.000000,
6000.000000,MOBILE_STATION_7,7,13.000000,232.000000,0.000000,
6000.000000,MOBILE_STATION_8,8,79.000000,264.000000,0.000000,
6000.000000,MOBILE_STATION_9,9,113.000000,309.000000,0.000000,
6000.000000,MOBILE_STATION_10,10,188.000000,122.000000,0.000000,
6000.000000,MOBILE_STATION_11,11,117.000000,142.000000,0.000000,
6000.000000,MOBILE_STATION_12,12,196.000000,401.000000,0.000000,
6000.000000,MOBILE_STATION_13,13,226.000000,292.000000,0.000000,
6000.000000,MOBILE_STATION_14,14,288.000000,274.000000,0.000000,
6000.000000,MOBILE_STATION_15,15,258.000000,124.000000,0.000000,
6000.000000,MOBILE_STATION_16,16,366.000000,64.000000,0.000000,
6000.000000,MOBILE_STATION_17,17,337.000000,249.000000,0.000000,
6000.000000,MOBILE_STATION_18,18,413.000000,352.000000,0.000000,
6000.000000,MOBILE_STATION_19,19,399.000000,173.000000,0.000000,
6000.000000,MOBILE_STATION_20,20,194.000000,435.000000,0.000000,
6000.000000,MOBILE_STATION_21,21,82.000000,69.000000,0.000000,
7000.000000,MOBILE_STATION_6,6,37.000000,42.000000,0.000000,
