Application Name,Application ID,Source,Destination,Packet ID,Segment ID,Packet or Segment Start Time(Microseconds),Packet or Segment End Time(Microseconds),Packet or Segment size(Bytes),Generation Rate(Mbps),Latency(Microseconds),Jitter(Microseconds),Throughput(Mbps),
App3_ERLANG_CALL,3,MOBILE_STATION_20,MOBILE_STATION_16,1,0,60000000.000000,60138976.259259,160.000000,0.000000,138976.259259,0.000000,-1,
App4_ERLANG_CALL,4,MOBILE_STATION_19,MOBILE_STATION_8,1,0,60000000.000000,60139553.259259,160.000000,0.000000,139553.259259,0.000000,-1,
App8_ERLANG_CALL,8,MOBILE_STATION_17,MOBILE_STATION_18,1,0,60000000.000000,60141284.259259,160.000000,0.000000,141284.259259,0.000000,-1,
App1_ERLANG_CALL,1,MOBILE_STATION_6,MOBILE_STATION_21,1,0,60000000.000000,60142438.259259,160.000000,0.000000,142438.259259,0.000000,-1,
App2_ERLANG_CALL,2,MOBILE_STATION_7,MOBILE_STATION_10,1,0,60000000.000000,60143014.259259,160.000000,0.000000,143014.259259,0.000000,-1,
App5_ERLANG_CALL,5,MOBILE_STATION_11,MOBILE_STATION_9,1,0,60000000.000000,60144745.259259,160.000000,0.000000,144745.259259,0.000000,-1,
App6_ERLANG_CALL,6,MOBILE_STATION_12,MOBILE_STATION_15,1,0,60000000.000000,60145322.259259,160.000000,0.000000,145322.259259,0.000000,-1,
App7_ERLANG_CALL,7,MOBILE_STATION_13,MOBILE_STATION_14,1,0,60000000.000000,60145899.259259,160.000000,0.000000,145899.259259,0.000000,-1,
App3_ERLANG_CALL,3,MOBILE_STATION_20,MOBILE_STATION_16,3,0,60020000.000000,60249736.259259,160.000000,0.064000,229736.259259,90760.000000,-1,
App4_ERLANG_CALL,4,MOBILE_STATION_19,MOBILE_STATION_8,3,0,60020000.000000,60250313.259259,160.000000,0.064000,230313.259259,90760.000000,-1,
App8_ERLANG_CALL,8,MOBILE_STATION_17,MOBILE_STATION_18,3,0,60020000.000000,60252044.259259,160.000000,0.064000,232044.259259,90760.000000,-1,
App1_ERLANG_CALL,1,MOBILE_STATION_6,MOBILE_STATION_21,3,0,60020000.000000,60253198.259259,160.000000,0.064000,233198.259259,90760.000000,-1,
App2_ERLANG_CALL,2,MOBILE_STATION_7,MOBILE_STATION_10,3,0,60020000.000000,60253774.259259,160.000000,0.064000,233774.259259,90760.000000,-1,
App5_ERLANG_CALL,5,MOBILE_STATION_11,MOBILE_STATION_9,3,0,60020000.000000,60255505.259259,160.000000,0.064000,235505.259259,90760.000000,-1,
